+--------------------------+
| problem                  |
+---------------+----------+
| indicator     | value    |
+---------------+----------+
| noJobs        | 1000     | 
| noServices    | 1000     | 
| noShipments   | 0        | 
| fleetsize     | FINITE   | 
+--------------------------+
+----------------------------------------------------------+
| solution                                                 |
+---------------+------------------------------------------+
| indicator     | value                                    |
+---------------+------------------------------------------+
| costs         | 192013.9622587949                        | 
| noVehicles    | 75                                       | 
| unassgndJobs  | 314                                      | 
+----------------------------------------------------------+
+--------------------------------------------------------------------------------------------------------------------------------+
| detailed solution                                                                                                              |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| route   | vehicle              | activity              | job             | arrTime         | endTime         | costs           |
| 15      | 2_9_vehicle          | service               | 442             | 39              | 90              | 39              |
| 15      | 2_9_vehicle          | service               | 479             | 138             | 168             | 87              |
| 15      | 2_9_vehicle          | service               | 364             | 176             | 206             | 96              |
| 15      | 2_9_vehicle          | service               | 748             | 214             | 244             | 103             |
| 15      | 2_9_vehicle          | service               | 873             | 259             | 289             | 118             |
| 15      | 2_9_vehicle          | service               | 54              | 302             | 332             | 131             |
| 15      | 2_9_vehicle          | service               | 501             | 333             | 363             | 132             |
| 15      | 2_9_vehicle          | service               | 992             | 371             | 401             | 140             |
| 15      | 2_9_vehicle          | service               | 365             | 409             | 439             | 148             |
| 15      | 2_9_vehicle          | service               | 689             | 442             | 472             | 151             |
| 15      | 2_9_vehicle          | service               | 64              | 480             | 510             | 159             |
| 15      | 2_9_vehicle          | end                   | -               | 570             | undef           | 219             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 16      | 2_13_vehicle         | start                 | -               | undef           | 0               | 0               |
| 16      | 2_13_vehicle         | service               | 38              | 48              | 78              | 48              |
| 16      | 2_13_vehicle         | service               | 967             | 153             | 183             | 123             |
| 16      | 2_13_vehicle         | service               | 488             | 187             | 217             | 127             |
| 16      | 2_13_vehicle         | service               | 366             | 240             | 270             | 150             |
| 16      | 2_13_vehicle         | service               | 18              | 272             | 302             | 152             |
| 16      | 2_13_vehicle         | service               | 985             | 318             | 348             | 168             |
| 16      | 2_13_vehicle         | service               | 484             | 351             | 381             | 171             |
| 16      | 2_13_vehicle         | service               | 625             | 415             | 450             | 205             |
| 16      | 2_13_vehicle         | service               | 468             | 454             | 484             | 210             |
| 16      | 2_13_vehicle         | end                   | -               | 572             | undef           | 297             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 17      | 5_1_vehicle          | start                 | -               | undef           | 0               | 0               |
| 17      | 5_1_vehicle          | service               | 52              | 21              | 90              | 21              |
| 17      | 5_1_vehicle          | service               | 262             | 112             | 150             | 43              |
| 17      | 5_1_vehicle          | service               | 429             | 172             | 210             | 65              |
| 17      | 5_1_vehicle          | service               | 539             | 264             | 294             | 119             |
| 17      | 5_1_vehicle          | service               | 356             | 297             | 327             | 122             |
| 17      | 5_1_vehicle          | service               | 239             | 336             | 366             | 131             |
| 17      | 5_1_vehicle          | service               | 900             | 376             | 420             | 141             |
| 17      | 5_1_vehicle          | service               | 388             | 429             | 459             | 150             |
| 17      | 5_1_vehicle          | service               | 164             | 477             | 507             | 168             |
| 17      | 5_1_vehicle          | end                   | -               | 578             | undef           | 238             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 18      | 1_5_vehicle          | start                 | -               | undef           | 0               | 0               |
| 18      | 1_5_vehicle          | service               | 870             | 33              | 63              | 33              |
| 18      | 1_5_vehicle          | service               | 966             | 84              | 114             | 54              |
| 18      | 1_5_vehicle          | service               | 756             | 114             | 144             | 54              |
| 18      | 1_5_vehicle          | service               | 81              | 159             | 210             | 69              |
| 18      | 1_5_vehicle          | service               | 879             | 219             | 270             | 78              |
| 18      | 1_5_vehicle          | service               | 959             | 275             | 305             | 83              |
| 18      | 1_5_vehicle          | service               | 821             | 309             | 339             | 87              |
| 18      | 1_5_vehicle          | service               | 960             | 349             | 379             | 97              |
| 18      | 1_5_vehicle          | service               | 86              | 388             | 420             | 106             |
| 18      | 1_5_vehicle          | service               | 263             | 438             | 468             | 123             |
| 18      | 1_5_vehicle          | service               | 704             | 475             | 505             | 130             |
| 18      | 1_5_vehicle          | end                   | -               | 553             | undef           | 178             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 19      | 5_3_vehicle          | start                 | -               | undef           | 0               | 0               |
| 19      | 5_3_vehicle          | service               | 395             | 123             | 153             | 123             |
| 19      | 5_3_vehicle          | service               | 265             | 160             | 190             | 130             |
| 19      | 5_3_vehicle          | service               | 24              | 217             | 247             | 157             |
| 19      | 5_3_vehicle          | service               | 768             | 259             | 289             | 169             |
| 19      | 5_3_vehicle          | service               | 789             | 304             | 334             | 184             |
| 19      | 5_3_vehicle          | service               | 444             | 347             | 377             | 197             |
| 19      | 5_3_vehicle          | service               | 354             | 417             | 450             | 237             |
| 19      | 5_3_vehicle          | service               | 437             | 476             | 506             | 263             |
| 19      | 5_3_vehicle          | end                   | -               | 554             | undef           | 311             |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 20      | 2_7_vehicle          | start                 | -               | undef           | 0               | 0               |
